"Tipologia","Frecuencia","Porcentaje","Nodos","Aristas","Densidad","Frecuencia_acumulada","intergeneracional","padrastros","suegros","nodos_aislados","monoparental","pareja_sin_hijos","Cluster"
"T1",10371,16.49,1,0,NA,16.49,0,0,0,1,0,0,"1"
"T2",9009,14.32,2,2,1,30.81,0,0,0,0,0,1,"2"
"T3",6721,10.68,3,4,0.6667,41.49,0,0,0,0,0,0,"3"
"T4",6616,10.52,2,1,0.5,52.01,0,0,0,0,1,0,"1"
"T5",5395,8.58,4,6,0.5,60.59,0,0,0,0,0,0,"3"
"T6",3875,6.16,3,2,0.3333,66.75,0,0,0,0,1,0,"1"
"T7",1718,2.73,5,8,0.4,69.48,0,0,0,0,0,0,"3"
"T8",1637,2.6,2,0,0,72.08,0,0,0,1,0,0,"1"
"T9",1377,2.19,4,3,0.25,74.27,0,0,0,0,1,0,"1"
"T10",1053,1.67,3,2,0.3333,75.94,1,0,0,0,0,0,"4"
"T11",909,1.44,3,2,0.3333,77.38,0,0,0,1,0,0,"1"
"T12",832,1.32,3,3,0.5,78.7,0,1,0,0,0,0,"4"
"T13",685,1.09,3,1,0.1667,79.79,0,0,0,1,1,0,"1"
"T14",658,1.05,4,5,0.4167,80.84,0,1,0,0,0,0,"4"
"T15",578,0.92,4,5,0.4167,81.76,1,0,0,0,0,0,"4"
"T16",479,0.76,4,4,0.3333,82.52,0,0,0,1,0,0,"1"
"T17",453,0.72,4,3,0.25,83.24,1,0,0,0,0,0,"4"
"T18",438,0.7,4,5,0.4167,83.94,0,0,1,0,0,0,"5"
"T19",425,0.68,4,3,0.25,84.62,1,0,0,0,0,0,"4"
"T20",420,0.67,3,3,0.5,85.29,0,0,1,0,0,0,"5"
"T21",383,0.61,3,0,0,85.9,0,0,0,1,0,0,"1"
"T22",365,0.58,5,7,0.35,86.48,1,0,0,0,0,0,"4"
"T23",349,0.55,5,7,0.35,87.03,0,0,1,0,0,0,"5"
"T24",303,0.48,6,10,0.3333,87.51,0,0,0,0,0,0,"3"
"T25",302,0.48,4,4,0.3333,87.99,0,1,0,0,0,0,"4"
"T26",289,0.46,4,2,0.1667,88.45,0,0,0,1,1,0,"1"
"T27",277,0.44,5,4,0.2,88.89,0,0,0,0,1,0,"1"
"T28",256,0.41,5,7,0.35,89.3,0,1,0,0,0,0,"4"
"T29",249,0.4,5,6,0.3,89.7,0,0,0,1,0,0,"1"
"T30",202,0.32,4,2,0.1667,90.02,0,0,0,1,0,0,"1"
"T31",201,0.32,5,6,0.3,90.34,1,0,0,0,0,0,"4"
"T32",144,0.23,5,4,0.2,90.57,1,0,0,0,0,0,"4"
"T33",143,0.23,4,1,0.0833,90.8,0,0,0,1,1,0,"1"
"T34",138,0.22,5,8,0.4,91.02,0,0,1,0,0,0,"5"
"T35",138,0.22,4,6,0.5,91.24,0,0,1,0,0,0,"5"
"T36",136,0.22,5,4,0.2,91.46,1,0,0,0,0,0,"4"
"T37",128,0.2,5,6,0.3,91.66,0,1,0,0,0,0,"4"
"T38",120,0.19,5,4,0.2,91.85,1,0,0,0,0,0,"4"
"T39",102,0.16,6,9,0.3,92.01,0,0,1,0,0,0,"5"
"T40",101,0.16,6,10,0.3333,92.17,0,0,1,0,0,0,"5"
"T41",100,0.16,4,2,0.1667,92.33,1,0,0,1,0,0,"4"
"T42",99,0.16,6,9,0.3,92.49,1,0,0,0,0,0,"4"
"T43",95,0.15,6,8,0.2667,92.64,0,0,0,1,0,0,"1"
"T44",92,0.15,6,10,0.3333,92.79,0,0,1,0,0,0,"5"
"T45",89,0.14,4,0,0,92.93,0,0,0,1,0,0,"1"
"T46",87,0.14,5,5,0.25,93.07,0,1,0,0,0,0,"4"
"T47",86,0.14,6,8,0.2667,93.21,1,0,0,0,0,0,"4"
"T48",84,0.13,4,4,0.3333,93.34,1,1,0,0,0,0,"4"
