"tipologia","macrogrupo"
"T1","Aislada"
"T2","Nuclear tradicional"
"T3","Nuclear tradicional"
"T4","Monoparental"
"T5","Nuclear tradicional"
"T6","Monoparental"
"T7","Nuclear tradicional"
"T8","Aislada"
"T9","Monoparental"
"T10","Intergeneracional"
"T11","Extendida"
"T12","Reconstituida"
"T13","Extendida"
"T14","Reconstituida"
"T15","Intergeneracional"
"T16","Extendida"
"T17","Intergeneracional"
"T18","Extendida"
"T19","Intergeneracional"
"T20","Extendida"
"T21","Aislada"
"T22","Intergeneracional"
"T23","Extendida"
"T24","Nuclear tradicional"
"T25","Reconstituida"
"T26","Extendida"
"T27","Monoparental"
"T28","Reconstituida"
"T29","Extendida"
"T30","Extendida"
"T31","Intergeneracional"
"T32","Intergeneracional"
"T33","Extendida"
"T34","Extendida"
"T35","Extendida"
"T36","Intergeneracional"
"T37","Reconstituida"
"T38","Intergeneracional"
"T39","Extendida"
"T40","Extendida"
"T41","Extendida"
"T42","Intergeneracional"
"T43","Extendida"
"T44","Extendida"
"T45","Aislada"
"T46","Reconstituida"
"T47","Intergeneracional"
"T48","Reconstituida"
