"Tipologia","intergeneracional","padrastros","suegros","nodos_aislados","monoparental","pareja_sin_hijos","Vertices","Aristas","marriage_edges","descent_edges"
"T1",0,0,0,1,0,0,1,0,0,0
"T2",0,1,0,0,0,1,2,2,2,0
"T3",0,1,0,0,0,0,3,4,2,2
"T4",0,0,0,0,1,0,2,1,0,1
"T5",0,1,0,0,0,0,4,6,2,4
"T6",0,0,0,0,1,0,3,2,0,2
"T7",0,1,0,0,0,0,5,8,2,6
"T8",0,0,0,1,0,0,2,0,0,0
"T9",0,0,0,0,1,0,4,3,0,3
"T10",1,0,0,0,0,0,3,2,0,2
"T11",0,1,0,1,0,0,3,2,2,0
"T12",0,1,0,0,0,0,3,3,2,1
"T13",0,0,0,1,1,0,3,1,0,1
"T14",0,1,0,0,0,0,4,5,2,3
"T15",1,1,0,0,0,0,4,5,2,3
"T16",0,1,0,1,0,0,4,4,2,2
"T17",1,0,0,0,0,0,4,3,0,3
"T18",1,1,1,0,0,0,4,5,2,3
"T19",1,0,0,0,0,0,4,3,0,3
"T20",0,1,1,0,0,0,3,3,2,1
"T21",0,0,0,1,0,0,3,0,0,0
"T22",1,1,0,0,0,0,5,7,2,5
"T23",1,1,1,0,0,0,5,7,2,5
"T24",0,1,0,0,0,0,6,10,2,8
"T25",0,1,0,0,0,0,4,4,2,2
"T26",0,0,0,1,1,0,4,2,0,2
"T27",0,0,0,0,1,0,5,4,0,4
"T28",0,1,0,0,0,0,5,7,2,5
"T29",0,1,0,1,0,0,5,6,2,4
"T30",0,1,0,1,0,0,4,2,2,0
"T31",1,1,0,0,0,0,5,6,2,4
"T32",1,0,0,0,0,0,5,4,0,4
"T33",0,0,0,1,1,0,4,1,0,1
"T34",1,1,1,0,0,0,5,8,4,4
"T35",0,1,1,0,0,0,4,6,4,2
"T36",1,0,0,0,0,0,5,4,0,4
"T37",0,1,0,0,0,0,5,6,2,4
"T38",1,0,0,0,0,0,5,4,0,4
"T39",1,1,1,0,0,0,6,9,2,7
"T40",1,1,1,0,0,0,6,10,4,6
"T41",1,0,0,1,0,0,4,2,0,2
"T42",1,1,0,0,0,0,6,9,2,7
"T43",0,1,0,1,0,0,6,8,2,6
"T44",1,1,1,0,0,0,6,10,4,6
"T45",0,0,0,1,0,0,4,0,0,0
"T46",0,1,0,0,0,0,5,5,2,3
"T47",1,1,0,0,0,0,6,8,2,6
"T48",1,1,0,0,0,0,4,4,2,2
