"Tipologia"	"Frecuencia"	"Porcentaje"	"Nodos"	"Aristas"	"Densidad"	"break_group"
"T1"	10371	16.49	1	0	NA	"Grupo Alto"
"T2"	9009	14.32	2	2	1	"Grupo Alto"
"T3"	6721	10.68	3	4	0.6667	"Grupo Alto"
"T4"	6616	10.52	2	1	0.5	"Grupo Alto"
"T5"	5395	8.58	4	6	0.5	"Grupo Alto"
"T6"	3875	6.16	3	2	0.3333	"Grupo Alto"
"T7"	1718	2.73	5	8	0.4	"Grupo Alto"
"T8"	1637	2.6	2	0	0	"Grupo Alto"
"T9"	1377	2.19	4	3	0.25	"Grupo Alto"
"T10"	1053	1.67	3	2	0.3333	"Grupo Alto"
"T11"	909	1.44	3	2	0.3333	"Grupo Alto"
"T12"	832	1.32	3	3	0.5	"Grupo Alto"
"T13"	685	1.09	3	1	0.1667	"Grupo Alto"
"T14"	658	1.05	4	5	0.4167	"Grupo Alto"
"T15"	578	0.92	4	5	0.4167	"Grupo Alto"
"T16"	479	0.76	4	4	0.3333	"Grupo Alto"
"T17"	453	0.72	4	3	0.25	"Grupo Alto"
"T18"	438	0.7	4	5	0.4167	"Grupo Alto"
"T19"	425	0.68	4	3	0.25	"Grupo Alto"
"T20"	420	0.67	3	3	0.5	"Grupo Alto"
"T21"	383	0.61	3	0	0	"Grupo Alto"
"T22"	365	0.58	5	7	0.35	"Grupo Alto"
"T23"	349	0.55	5	7	0.35	"Grupo Alto"
"T24"	303	0.48	6	10	0.3333	"Grupo Alto"
"T25"	302	0.48	4	4	0.3333	"Grupo Alto"
"T26"	289	0.46	4	2	0.1667	"Grupo Alto"
"T27"	277	0.44	5	4	0.2	"Grupo Alto"
"T28"	256	0.41	5	7	0.35	"Grupo Alto"
"T29"	249	0.4	5	6	0.3	"Grupo Alto"
"T30"	202	0.32	4	2	0.1667	"Grupo Alto"
"T31"	201	0.32	5	6	0.3	"Grupo Alto"
"T32"	144	0.23	5	4	0.2	"Grupo Alto"
"T33"	143	0.23	4	1	0.0833	"Grupo Alto"
"T34"	138	0.22	5	8	0.4	"Grupo Alto"
"T35"	138	0.22	4	6	0.5	"Grupo Alto"
"T36"	136	0.22	5	4	0.2	"Grupo Alto"
"T37"	128	0.2	5	6	0.3	"Grupo Alto"
"T38"	120	0.19	5	4	0.2	"Grupo Alto"
"T39"	102	0.16	6	9	0.3	"Grupo Alto"
"T40"	101	0.16	6	10	0.3333	"Grupo Alto"
"T41"	100	0.16	4	2	0.1667	"Grupo Alto"
"T42"	99	0.16	6	9	0.3	"Grupo Alto"
"T43"	95	0.15	6	8	0.2667	"Grupo Alto"
"T44"	92	0.15	6	10	0.3333	"Grupo Alto"
"T45"	89	0.14	4	0	0	"Grupo Alto"
"T46"	87	0.14	5	5	0.25	"Grupo Alto"
"T47"	86	0.14	6	8	0.2667	"Grupo Alto"
"T48"	84	0.13	4	4	0.3333	"Grupo Alto"
